,FileName,Article_Filter,SRC,TopPos,TopNeg,DupCnt,Take,Length,Model,Beams,R1-F1,R1-Precision,R1-Recall,R2-F1,R2-Precision,R2-Recall,RL-F1,RL-Precision,RL-Recall,R1-D-F1,R1-D-Precision,R1-D-Recall,R2-D-F1,R2-D-Precision,R2-D-Recall,RL-D-F1,RL-D-Precision,RL-D-Recall
18,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_5_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_2.pickle,1,newsroom,10,10,5,1000.pickle,400,facebook-bart-large-cnn,2.pickle,0.2075570831475882,0.16433767374105757,0.35360943328355093,0.08119814487725116,0.06680460770132071,0.13303536985858883,0.20067236815987052,0.16161167267222498,0.3186325686774088,0.2419353072017813,0.1886170064561513,0.43010658071633556,0.13285440928416423,0.10855116980234326,0.22042138393212313,0.24048368964244338,0.19111186258489002,0.39447773072813735
19,/home/jupyter/w266_Final_Project/prod/multi_news_Pos_10_Neg_10_dCnt_1_take_1000.pickle_mLen_400_name_facebook-bart-large-xsum_beams_4.pickle,1,multinews,10,10,1,1000.pickle,400,facebook-bart-large-xsum,4.pickle,0.1112793315730952,0.5618406537165521,0.06290523425035467,0.03019084693316848,0.15833190034208966,0.016982368838063644,0.12022186605799685,0.481766653983212,0.06987186287555817,0.1167757390604131,0.5616104212131161,0.06653217573858565,0.03352697635276606,0.16454130469836903,0.019057646314541606,0.12547925688863334,0.47986577303809386,0.07361724205370669
20,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_3_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_4.pickle,1,newsroom,10,10,3,1000.pickle,400,facebook-bart-large-cnn,4.pickle,0.20087112237868882,0.15245844383035392,0.37905945695325,0.08275550768893752,0.06478825989807419,0.14961470180062653,0.1964135653280552,0.15152629354669425,0.3420075030171297,0.2210591309005682,0.16303811288736317,0.4547241161101016,0.11783697105253203,0.09092793224134466,0.22328532815064564,0.221890282901776,0.16690722259758356,0.41352276927591924
21,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_6_Neg_6_dCnt_5_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_4.pickle,1,newsroom,6,6,5,1000.pickle,400,facebook-bart-large-cnn,4.pickle,0.20087112237868882,0.15245844383035392,0.37905945695325,0.08275550768893752,0.06478825989807419,0.14961470180062653,0.1964135653280552,0.15152629354669425,0.3420075030171297,0.23018460962219633,0.17192863537650588,0.45227774961226547,0.12732920774980053,0.09912003186158852,0.2325872431928483,0.2311548754921287,0.1760256756130614,0.4139343613951162
22,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_1_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_4.pickle,1,newsroom,10,10,1,1000.pickle,400,facebook-bart-large-cnn,4.pickle,0.20087112237868882,0.15245844383035392,0.37905945695325,0.08275550768893752,0.06478825989807419,0.14961470180062653,0.1964135653280552,0.15152629354669425,0.3420075030171297,0.20288772423510928,0.15076555743008943,0.4159108798304673,0.09216129117993717,0.07195823667690186,0.17628800214910634,0.2002698897844125,0.15113532873853078,0.37443683493316376
23,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_5_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_7.pickle,1,newsroom,10,10,5,1000.pickle,400,facebook-bart-large-cnn,7.pickle,0.18984712940317003,0.13994812070831647,0.38940297929075846,0.07517841361879989,0.05705304145622124,0.1484672606657235,0.18589465561212398,0.1393134159189013,0.3484705854451116,0.2313039785849893,0.16906106230318999,0.4842833225538168,0.1349877511573711,0.10265364744856896,0.260559300430791,0.23518845519053713,0.1755929416670484,0.4439304455470471
24,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_1_take_1000.pickle_mLen_400_name_facebook-bart-large-xsum_beams_4.pickle,1,newsroom,10,10,1,1000.pickle,400,facebook-bart-large-xsum,4.pickle,0.19110068736981614,0.2214109802739309,0.19321052376608341,0.05728802422667652,0.06844802281023744,0.056109169280163226,0.1622147520533906,0.1871204628211066,0.1620378590069294,0.23005863700142848,0.2552169012959797,0.24224930997775249,0.09932113423794985,0.11500738339027165,0.09943910880278992,0.2007924714087231,0.22220397848710347,0.20855017430108655
25,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_9_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_4.pickle,1,newsroom,10,10,9,1000.pickle,400,facebook-bart-large-cnn,4.pickle,0.20087112237868882,0.15245844383035392,0.37905945695325,0.08275550768893752,0.06478825989807419,0.14961470180062653,0.1964135653280552,0.15152629354669425,0.3420075030171297,0.25727332356566357,0.19762095742059127,0.4732628695504439,0.15480375782982403,0.12413133502606424,0.2644552320495491,0.25802125471518655,0.20230068366590628,0.43544063696815394
26,/home/jupyter/w266_Final_Project/prod/newsroom_Pos_10_Neg_10_dCnt_6_take_1000.pickle_mLen_400_name_facebook-bart-large-cnn_beams_4.pickle,1,newsroom,10,10,6,1000.pickle,400,facebook-bart-large-cnn,4.pickle,0.20087112237868882,0.15245844383035392,0.37905945695325,0.08275550768893752,0.06478825989807419,0.14961470180062653,0.1964135653280552,0.15152629354669425,0.3420075030171297,0.24048278450691016,0.18131274664581737,0.46187484966196896,0.13873385365131913,0.10903373473101809,0.24724831751232093,0.2415018348301927,0.18586623980631223,0.4239643500686544
27,/home/jupyter/w266_Final_Project/prod/cnn_dailymail_Pos_10_Neg_10_dCnt_10_take_1000.pickle_mLen_400_name_facebook-bart-large-xsum_beams_4.pickle,1,cnndailymail,10,10,10,1000.pickle,400,facebook-bart-large-xsum,4.pickle,0.2096409293325051,0.34947479057402414,0.15750573211768207,0.05897775265434051,0.10017771720871824,0.04403293740436247,0.1929666521983841,0.3074297991012792,0.14670185797588411,0.23522017007492688,0.3622237851010845,0.18437587004636266,0.07738962851827727,0.12141505808975536,0.06032383326270794,0.21711485316100038,0.32034728781031513,0.17230171494816743
